1,239,56,97,57.7,12,24,50.0,19,22,86.4,7,35,42,33,10,3,7,17
0,240,29,79,36.7,0,13,0.0,23,34,67.6,14,32,46,17,8,1,20,27
0,239,38,88,43.2,10,34,29.4,13,18,72.2,9,30,39,17,13,4,14,20
1,240,43,83,51.8,5,10,50.0,19,24,79.2,13,32,45,22,5,3,14,16
0,240,30,77,39.0,3,10,30.0,17,21,81.0,10,42,52,21,4,5,17,22
0,238,43,86,50.0,2,16,12.5,13,17,76.5,12,24,36,28,8,0,14,19
0,240,31,84,36.9,5,15,33.3,13,18,72.2,13,31,44,19,8,2,13,18
1,240,43,93,46.2,10,27,37.0,11,16,68.8,17,31,48,18,9,9,14,21
0,240,35,79,44.3,7,24,29.2,9,16,56.3,13,36,49,26,7,2,12,13
0,241,36,91,39.6,3,12,25.0,13,20,65.0,10,41,51,23,4,7,11,17
0,240,31,85,36.5,2,14,14.3,23,37,62.2,19,36,55,12,6,6,16,22
1,240,43,84,51.2,10,17,58.8,20,31,64.5,15,31,46,22,7,4,15,28
1,266,47,89,52.8,9,26,34.6,20,24,83.3,9,37,46,25,9,6,18,23
1,239,49,92,53.3,19,46,41.3,8,11,72.7,7,55,62,32,4,8,17,23
1,237,42,85,49.4,5,13,38.5,13,17,76.5,7,40,47,34,6,10,14,25
1,265,41,103,39.8,3,23,13.0,17,26,65.4,21,23,44,23,12,8,9,19
1,240,43,84,51.2,6,12,50.0,13,16,81.3,17,35,52,21,8,5,17,18
0,240,30,75,40.0,3,16,18.8,24,39,61.5,10,42,52,18,5,6,19,31
1,241,39,76,51.3,4,12,33.3,21,23,91.3,16,29,45,23,13,7,24,27
0,264,41,98,41.8,10,36,27.8,19,21,90.5,17,27,44,22,6,7,14,26
0,240,39,88,44.3,2,13,15.4,12,18,66.7,13,27,40,19,7,4,12,22
1,241,37,73,50.7,7,16,43.8,22,28,78.6,10,25,35,19,12,3,17,28
1,240,36,72,50.0,3,13,23.1,17,23,73.9,10,44,54,20,4,11,15,20
0,242,46,95,48.4,9,31,29.0,12,16,75.0,14,26,40,23,6,5,11,21
